previous,poutcome,emp.var.rate,cons.price.idx,euribor3m,y
0.0,0.0,1.4,93.918,4.959,0
0.0,0.0,1.4,94.465,4.864,0
0.0,0.0,1.4,93.444,4.963,0
0.0,0.0,1.1,93.994,4.86,0
0.0,0.0,-1.8,92.893,1.291,0
0.0,0.0,-1.8,92.893,1.354,0
0.0,0.0,1.1,93.994,4.857,0
0.0,0.0,1.1,93.994,4.857,0
0.0,0.0,1.4,93.918,4.962,0
0.0,0.0,-1.8,92.843,1.538,0
0.0,0.0,1.4,93.444,4.963,0
0.0,0.0,1.4,94.465,4.864,0
0.0,0.0,1.1,93.994,4.859,0
2.0,2.0,-1.7,94.027,0.899,1
0.0,0.0,-1.8,93.075,1.405,0
1.0,1.0,-1.8,93.369,0.654,0
1.0,2.0,-3.4,92.431,0.73,1
0.0,0.0,1.4,93.918,4.962,0
0.0,0.0,1.4,93.918,4.968,0
0.0,0.0,1.1,93.994,4.856,0
0.0,0.0,-1.8,92.893,1.27,0
0.0,0.0,1.4,94.465,4.866,0
0.0,0.0,1.4,93.918,4.961,0
0.0,0.0,1.4,93.918,4.961,0
0.0,0.0,1.4,93.444,4.963,0
0.0,0.0,-1.1,94.767,1.028,1
0.0,0.0,1.1,93.994,4.857,0
0.0,0.0,-1.8,92.893,1.313,0
0.0,0.0,-2.9,92.201,0.884,1
0.0,0.0,-2.9,92.201,0.883,0
0.0,0.0,-0.1,93.2,4.12,0
0.0,0.0,-1.8,93.075,1.365,1
0.0,0.0,-1.8,92.843,1.663,0
0.0,0.0,1.4,93.918,4.96,0
0.0,0.0,-1.8,92.893,1.266,1
0.0,0.0,-1.8,92.893,1.244,0
0.0,0.0,1.4,94.465,4.866,0
0.0,0.0,-1.8,92.893,1.334,0
0.0,0.0,1.1,93.994,4.855,0
0.0,0.0,-1.8,92.893,1.25,0
0.0,0.0,1.1,93.994,4.859,0
0.0,0.0,-1.8,92.843,1.531,0
0.0,0.0,-0.1,93.2,4.076,0
0.0,0.0,-0.1,93.2,4.153,0
0.0,0.0,1.4,94.465,4.959,0
0.0,0.0,1.4,93.918,4.963,0
0.0,0.0,1.1,93.994,4.86,0
0.0,0.0,1.4,94.465,4.865,0
0.0,0.0,1.4,94.465,4.967,0
0.0,0.0,1.4,93.918,4.963,0
0.0,0.0,1.4,93.444,4.966,0
0.0,0.0,1.4,94.465,4.864,0
1.0,2.0,-1.7,94.027,0.898,1
0.0,0.0,1.1,93.994,4.858,0
0.0,0.0,1.4,93.444,4.964,0
1.0,1.0,-2.9,92.963,1.266,0
0.0,0.0,-1.8,93.075,1.415,1
0.0,0.0,1.4,93.444,4.964,0
0.0,0.0,-1.8,92.893,1.313,0
1.0,1.0,-0.1,93.2,4.12,0
0.0,0.0,1.1,93.994,4.86,0
0.0,0.0,1.4,93.444,4.966,0
0.0,0.0,1.4,93.918,4.963,0
0.0,0.0,-2.9,92.963,1.26,0
0.0,0.0,-1.8,93.075,1.445,0
0.0,0.0,-1.8,92.893,1.291,0
0.0,0.0,-1.8,92.893,1.27,0
0.0,0.0,-0.1,93.2,4.021,0
0.0,0.0,-1.8,92.893,1.313,0
0.0,0.0,1.4,93.444,4.965,0
0.0,0.0,-1.8,92.893,1.266,0
0.0,0.0,1.4,93.444,4.963,0
0.0,0.0,1.1,93.994,4.855,0
0.0,0.0,1.1,93.994,4.86,0
0.0,0.0,1.1,93.994,4.855,0
0.0,0.0,1.4,94.465,4.96,0
0.0,0.0,-1.8,92.893,1.266,0
0.0,0.0,1.1,93.994,4.86,0
1.0,1.0,-0.1,93.2,4.153,0
0.0,0.0,-3.4,92.649,0.714,0
0.0,0.0,-1.8,92.843,1.64,1
0.0,0.0,1.4,93.444,4.968,0
1.0,2.0,-0.1,93.2,4.286,0
0.0,0.0,-0.1,93.2,4.021,0
0.0,0.0,1.1,93.994,4.856,0
0.0,0.0,-1.8,92.893,1.327,0
0.0,0.0,1.4,93.444,4.964,0
0.0,0.0,1.4,93.444,4.964,0
0.0,0.0,1.4,93.918,4.961,0
2.0,1.0,-1.7,94.055,0.767,1
0.0,0.0,-1.8,92.893,1.299,0
0.0,0.0,-1.8,92.893,1.25,0
0.0,0.0,1.1,93.994,4.857,0
1.0,2.0,-0.1,93.2,4.021,0
0.0,0.0,1.4,93.444,4.963,0
0.0,0.0,1.4,94.465,4.967,0
0.0,0.0,1.1,93.994,4.858,1
0.0,0.0,-1.8,93.876,0.682,1
0.0,0.0,-2.9,92.963,1.26,1
0.0,0.0,1.1,93.994,4.856,0
0.0,0.0,1.1,93.994,4.86,0
0.0,0.0,-1.7,94.215,0.827,0
0.0,0.0,-1.1,94.601,0.965,0
1.0,1.0,-1.8,92.893,1.299,0
0.0,0.0,1.4,93.444,4.964,0
0.0,0.0,-1.8,92.893,1.266,0
0.0,0.0,1.4,94.465,4.961,0
1.0,1.0,-0.1,93.2,4.076,0
0.0,0.0,1.1,93.994,4.86,0
0.0,0.0,-0.1,93.2,4.12,0
0.0,0.0,1.1,93.994,4.856,0
0.0,0.0,-1.8,93.075,1.405,0
0.0,0.0,1.4,93.444,4.966,0
0.0,0.0,1.4,93.918,4.961,0
0.0,0.0,1.4,93.918,4.963,0
0.0,0.0,1.4,94.465,4.961,0
0.0,0.0,-1.8,93.075,1.405,0
3.0,2.0,-1.1,94.199,0.883,0
0.0,0.0,1.4,93.918,4.963,0
0.0,0.0,1.4,93.444,4.966,0
0.0,0.0,-1.8,93.075,1.4,1
0.0,0.0,-0.1,93.2,4.12,0
0.0,0.0,1.1,93.994,4.864,0
0.0,0.0,1.1,93.994,4.864,0
0.0,0.0,-1.8,92.893,1.291,0
0.0,0.0,1.4,94.465,4.961,0
0.0,0.0,1.1,93.994,4.855,0
0.0,0.0,1.4,93.444,4.965,0
0.0,0.0,1.4,93.444,4.963,0
0.0,0.0,-0.1,93.2,4.021,0
0.0,0.0,1.1,93.994,4.857,0
1.0,2.0,-1.1,94.199,0.882,1
3.0,2.0,-1.1,94.601,0.977,0
0.0,0.0,-3.4,92.649,0.722,0
1.0,1.0,-1.8,93.075,1.365,1
0.0,0.0,1.4,93.918,4.968,0
0.0,0.0,1.4,93.918,4.968,0
0.0,0.0,1.4,94.465,4.967,0
